Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover
EDF,FR0010242511,EDF,Euronext Paris,EUR,10.66,10.66,10.415,10.48,9/02/2021 17:30,CET,2259325,23696151.91
EGIDE,FR0000072373,GID,Euronext Paris,EUR,1.07,1.08,1.05,1.05,9/02/2021 17:35,CET,39411,42189.29
EIFFAGE,FR0000130452,FGR,Euronext Paris,EUR,83.82,84.54,82.22,83.12,9/02/2021 17:36,CET,288715,24046475.6
EKINOPS,FR0011466069,EKI,Euronext Paris,EUR,7.01,7.04,6.9,6.96,9/02/2021 17:35,CET,35486,247585.34
ELEC.STRASBOURG,FR0000031023,ELEC,Euronext Paris,EUR,117,117,116.5,116.5,9/02/2021 16:40,CET,54,6303.5
ELECT. MADAGASCAR,FR0000035719,EEM,Euronext Paris,EUR,3.28,3.28,3.28,3.28,3/02/2020 16:30,CET,1034,3391.52
ELIOR GROUP,FR0011950732,ELIOR,Euronext Paris,EUR,5.75,5.835,5.655,5.68,9/02/2021 17:35,CET,670128,3837393.39
ELIS,FR0012435121,ELIS,Euronext Paris,EUR,13.65,13.65,13.2,13.2,9/02/2021 17:35,CET,300317,3996941.86
ENGIE,FR0010208488,ENGI,Euronext Paris Brussels,EUR,13.225,13.265,13.04,13.1,9/02/2021 17:35,CET,4337161,56911678.71
ENGIE EPS,FR0012650166,EPS,Euronext Paris,EUR,17.5,18.35,17.2,18.1,9/02/2021 17:35,CET,43029,770353.65
ENVIPCO,NL0009901610,ENVI,Euronext Amsterdam,EUR,16.1,16.2,15.9,16,9/02/2021 16:52,CET,4026,64581.4
EOS IMAGING,FR0011191766,EOSI,Euronext Paris,EUR,2.36,2.36,2.345,2.355,9/02/2021 17:35,CET,34931,82327.87
ERAMET,FR0000131757,ERA,Euronext Paris,EUR,49.4,50.46,48.86,48.99,9/02/2021 17:35,CET,162472,8107679.55
ERYTECH PHARMA,FR0011471135,ERYP,Euronext Paris,EUR,7.9,8.08,7.67,7.77,9/02/2021 17:35,CET,274595,2162523.16
ESI GROUP,FR0004110310,ESI,Euronext Paris,EUR,43.1,43.5,43,43.5,9/02/2021 17:18,CET,15220,657477.2
ESPERITE,NL0009272137,ESP,Euronext Amsterdam Paris,EUR,0.0452,0.0466,0.045,0.0458,9/02/2021 17:35,CET,288351,13042.04
ESSILORLUXOTTICA,FR0000121667,EL,Euronext Paris,EUR,131,133.6,130.55,133.2,9/02/2021 17:35,CET,478120,63513417.85
ESSO,FR0000120669,ES,Euronext Paris,EUR,12.1,12.35,12.05,12.15,9/02/2021 17:35,CET,1899,23042.45
EURASIA FONC INV,FR0000061475,EFI,Euronext Paris,EUR,0.358,0.358,0.358,0.358,9/02/2021 16:30,CET,3,1.08
EURAZEO,FR0000121121,RF,Euronext Paris,EUR,61.85,62.25,61.5,61.95,9/02/2021 17:35,CET,103899,6436771.75
EURO RESSOURCES,FR0000054678,EUR,Euronext Paris,EUR,3.29,3.3,3.26,3.3,9/02/2021 15:24,CET,2951,9692.42
EUROCASTLE INVEST.,GB00B94QM994,ECT,Euronext Amsterdam,EUR,6.6,6.8,6.6,6.8,8/02/2021 16:33,CET,1957,13269.6
EUROCOMMERCIAL,NL0000288876,ECMPA,Euronext Amsterdam Brussels,EUR,15.5,15.7,15.4,15.58,9/02/2021 17:35,CET,62411,972025.88
EUROFINS SCIE NV21,FR0014001236,ERFNV,Euronext Paris,EUR,80,80,79.6,79.6,9/02/2021 16:30,CET,175,13960
EUROFINS SCIENT.,FR0014000MR3,ERF,Euronext Paris,EUR,80.13,80.59,79.67,80.03,9/02/2021 17:35,CET,236173,18920672.91
EUROPACORP,FR0010490920,ECP,Euronext Paris,EUR,0.82,0.82,0.793,0.804,9/02/2021 17:35,CET,50706,40881.02
EUROPCAR MOB DS,FR0014001GY9,EUCDS,Euronext Paris,EUR,0.1,0.1146,0.0926,0.0953,9/02/2021 17:35,CET,7560455,776575.61
EUROPCAR MOBILITY,FR0012789949,EUCAR,Euronext Paris,EUR,0.4486,0.4486,0.392,0.4008,9/02/2021 17:39,CET,11417358,4743422.36
EUTELSAT COMMUNIC.,FR0010221234,ETL,Euronext Paris,EUR,9.5,9.602,9.382,9.576,9/02/2021 17:35,CET,623848,5924555.28
EVERGREEN,FR0000035784,EGR,Euronext Paris,EUR,4.4,4.8,4.4,4.8,9/02/2021 17:21,CET,35238,159477.2
EXACOMPTA CLAIREF.,FR0000064164,EXAC,Euronext Paris,EUR,95,95,95,95,9/02/2021 17:26,CET,1114,105830
EXEL INDUSTRIES,FR0004527638,EXE,Euronext Paris,EUR,66,66.4,66,66.2,9/02/2021 17:35,CET,3390,223789.4
EXPLOS.PROD.CHI.PF,FR0000037343,EPCP,Euronext Paris,EUR,590,590,590,590,2/02/2021 11:30,CET,8,4720
EXPLOSIFS PROD.CHI,FR0000039026,EXPL,Euronext Paris,EUR,490,490,490,490,8/02/2021 16:32,CET,2,980
FASTNED,NL0013654809,FAST,Euronext Amsterdam,EUR,78,92,78,90,9/02/2021 17:38,CET,264346,22518114.5
FAURECIA,FR0000121147,EO,Euronext Paris,EUR,44.15,44.3,43.51,43.78,9/02/2021 17:35,CET,224008,9819859.96
FAUVET GIREL,FR0000063034,FAUV,Euronext Paris,EUR,15,15,15,15,5/02/2021 11:30,CET,2,30
FAYENC.SARREGUEMI.,FR0000031973,FAYE,Euronext Paris,EUR,33,33,33,33,31/08/2020 16:30,CET,1,33
FDJ,FR0013451333,FDJ,Euronext Paris,EUR,37.22,37.29,37.01,37.2,9/02/2021 17:35,CET,188599,7010422.7
FERM.CAS.MUN.CANNE,FR0000062101,FCMC,Euronext Paris,EUR,1180,1180,1180,1180,4/02/2021 11:30,CET,2,2360
FERMENTALG,FR0011271600,FALG,Euronext Paris,EUR,3.59,3.63,3.355,3.38,9/02/2021 17:39,CET,803293,2773850.38
FFP,FR0000064784,FFP,Euronext Paris,EUR,94.1,95,94,94.9,9/02/2021 17:35,CET,9111,860984.3
FIDUCIAL OFF.SOL.,FR0000061418,SACI,Euronext Paris,EUR,28,28,28,28,9/02/2021 11:30,CET,1,28
FIDUCIAL REAL EST.,FR0000060535,ORIA,Euronext Paris,EUR,161,161,161,161,9/02/2021 11:30,CET,1,161
FIGEAC AERO,FR0011665280,FGA,Euronext Paris,EUR,4.7,5.3,4.7,5.2,9/02/2021 17:35,CET,246066,1257295.68
FIN.ETANG BERRE,FR0000062341,BERR,Euronext Paris,EUR,4.7,4.7,4.7,4.7,9/02/2021 11:30,CET,254,1193.8
FIN.ETANG BERRE PF,FR0000062507,EBPF,Euronext Paris,EUR,86,86,86,86,2/02/2021 11:30,CET,62,5332
FIN.OUEST AFRICAIN,SN0000033192,FOAF,Euronext Paris,EUR,13,13,13,13,9/02/2021 16:30,CET,152,1976
FINANCIERE MARJOS,FR0000060824,FINM,Euronext Paris,EUR,0.274,0.274,0.272,0.272,9/02/2021 16:30,CET,3,0.81
FINANCIERE ODET,FR0000062234,ODET,Euronext Paris,EUR,810,810,806,810,9/02/2021 17:35,CET,266,215368
FINATIS,FR0000035123,FNTS,Euronext Paris,EUR,40.4,40.4,40.4,40.4,9/02/2021 11:30,CET,50,2020
FIPP,FR0000038184,FIPP,Euronext Paris,EUR,0.208,0.208,0.208,0.208,9/02/2021 16:51,CET,1003,208.63
FLOW TRADERS,NL0011279492,FLOW,Euronext Amsterdam,EUR,30.7,30.98,30.52,30.98,9/02/2021 17:35,CET,145292,4475996.94
FNAC DARTY,FR0011476928,FNAC,Euronext Paris,EUR,50,50.05,48.38,48.58,9/02/2021 17:35,CET,60646,2983093.52
FONC. PARIS NORD,FR0011277391,FPN,Euronext Paris,EUR,0.04,0.04,0.0375,0.0375,9/02/2021 17:29,CET,118410,4576.01
FONCIERE 7 INVEST,FR0000065930,LEBL,Euronext Paris,EUR,1.2,1.2,1.2,1.2,8/01/2021 16:30,CET,100,120
FONCIERE ATLAND,FR0013455482,FATL,Euronext Paris,EUR,33.255,33.5,33.25,33.5,9/02/2021 16:27,CET,9,300.61
FONCIERE EURIS,FR0000038499,EURS,Euronext Paris,EUR,11.2,11.2,11.2,11.2,9/02/2021 16:30,CET,40,448
FONCIERE INEA,FR0010341032,INEA,Euronext Paris,EUR,38,38.4,37.5,37.5,9/02/2021 17:35,CET,1254,47330.3
FONCIERE LYONNAISE,FR0000033409,FLY,Euronext Paris,EUR,64.6,64.6,64.2,64.2,9/02/2021 17:35,CET,289,18595.4
FONCIERE VOLTA,FR0000053944,SPEL,Euronext Paris,EUR,7.35,7.35,7.35,7.35,8/02/2021 16:30,CET,15,110.25
FORESTIERE EQUAT.,CI0000053161,FORE,Euronext Paris,EUR,680,680,680,680,27/01/2021 11:41,CET,2,1360
FORFARMERS,NL0011832811,FFARM,Euronext Amsterdam,EUR,5.84,5.86,5.75,5.78,9/02/2021 17:35,CET,125666,728448.95
FRANCAISE ENERGIE,FR0013030152,LFDE,Euronext Paris,EUR,22.6,23,22.4,22.4,9/02/2021 17:29,CET,2248,51118.7
FREY,FR0010588079,FREY,Euronext Paris,EUR,29.8,29.8,29.6,29.6,9/02/2021 16:30,CET,529,15757
FUGRO,NL00150004A7,FUR,Euronext Amsterdam,EUR,8.86,8.905,8.74,8.825,9/02/2021 17:35,CET,698052,6162072.55
GALAPAGOS,BE0003818359,GLPG,Euronext Amsterdam Brussels,EUR,89.48,90.56,88.9,90.28,9/02/2021 17:39,CET,257945,23163297.2
GALIMMO,FR0000030611,GALIM,Euronext Paris,EUR,15.8,15.8,15.8,15.8,9/02/2021 11:30,CET,5,79
GAUMONT,FR0000034894,GAM,Euronext Paris,EUR,121,121,120,120,9/02/2021 16:43,CET,58,7011
GEA GRENOBL.ELECT.,FR0000053035,GEA,Euronext Paris,EUR,100,100,100,100,9/02/2021 13:19,CET,6,600
GECI INTL,FR0000079634,GECP,Euronext Paris,EUR,0.034,0.0349,0.0305,0.0315,9/02/2021 17:37,CET,35444073,1133365.63
GECI INTL BSAR A,FR0013266764,GECBT,Euronext Paris,EUR,0.0025,0.0035,0.0025,0.0035,9/02/2021 17:35,CET,338004,845.01
GECINA,FR0010040865,GFC,Euronext Paris,EUR,119.6,120.8,118.8,120.7,9/02/2021 17:36,CET,103556,12467941.5
GENERAL ELECTRIC,US3696041033,GNE,Euronext Paris,EUR,9.577,9.65,9.443,9.513,9/02/2021 17:35,CET,3267,31207.12
GENERIX GROUP,FR0010501692,GENX,Euronext Paris,EUR,7.7,7.8,7.64,7.64,9/02/2021 17:35,CET,3917,30208.56
GENEURO,CH0308403085,GNRO,Euronext Paris,EUR,3.38,3.38,3.25,3.27,9/02/2021 16:57,CET,6052,20242.93
GENFIT,FR0004163111,GNFT,Euronext Paris,EUR,4.28,4.282,4.188,4.2,9/02/2021 17:35,CET,316986,1340822.78
GENKYOTEX,FR0013399474,GKTX,Euronext Paris Brussels,EUR,3.06,3.06,3.01,3.02,9/02/2021 17:29,CET,1417,4283
GENOMIC VISION,FR0011799907,GV,Euronext Paris,EUR,0.83,0.847,0.806,0.81,9/02/2021 17:35,CET,1662438,1374023.27
GENSIGHT BIOLOGICS,FR0013183985,SIGHT,Euronext Paris,EUR,7.73,7.77,7.31,7.45,9/02/2021 17:35,CET,450790,3366200.54
GEOJUNXION,NL0000430106,GOJXN,Euronext Amsterdam,EUR,1.78,1.78,1.78,1.78,9/02/2021 13:22,CET,1625,2892.5
GETLINK SE,FR0010533075,GET,Euronext Paris,EUR,13.86,13.92,13.53,13.66,9/02/2021 17:36,CET,676673,9258313.72
GL EVENTS,FR0000066672,GLO,Euronext Paris,EUR,9.68,9.83,9.22,9.36,9/02/2021 17:35,CET,48080,455262.67
GPE GROUP PIZZORNO,FR0010214064,GPE,Euronext Paris,EUR,21.4,21.4,21.4,21.4,9/02/2021 9:00,CET,1,21.4
GRAINES VOLTZ,FR0000065971,GRVO,Euronext Paris,EUR,112,114,112,113,9/02/2021 17:10,CET,318,35719
GRANDVISION,NL0010937066,GVNV,Euronext Amsterdam,EUR,25.3,25.9,25.3,25.65,9/02/2021 17:35,CET,122755,3148183.1
GROUPE CRIT,FR0000036675,CEN,Euronext Paris,EUR,62.5,62.5,61.7,62,9/02/2021 17:35,CET,219,13583.7
GROUPE FLO,FR0004076891,FLO,Euronext Paris,EUR,0.182,0.182,0.18,0.182,9/02/2021 17:35,CET,34040,6155.22
GROUPE GORGE,FR0000062671,GOE,Euronext Paris,EUR,15.78,15.78,15.58,15.62,9/02/2021 17:35,CET,5830,91519
GROUPE IRD,FR0000124232,IRD,Euronext Paris,EUR,24.975,24.975,24.975,24.975,9/02/2021 9:00,CET,1,24.98
GROUPE JAJ,FR0004010338,GJAJ,Euronext Paris,EUR,1.5,1.5,1.5,1.5,9/02/2021 11:30,CET,99,148.5
GROUPE OPEN,FR0004050300,OPN,Euronext Paris,EUR,15,15,14.44,14.44,8/02/2021 17:35,CET,1493,22307.56
GROUPE PARTOUCHE,FR0012612646,PARP,Euronext Paris,EUR,20.4,20.4,20,20.4,9/02/2021 17:20,CET,1474,29587
GROUPE SFPI,FR0004155000,SFPI,Euronext Paris,EUR,1.87,1.87,1.85,1.86,9/02/2021 17:35,CET,34897,64836.77
GT BIOPHARMA INC,US36254L1008,GTBP,Euronext Paris,EUR,0.55,0.55,0.55,0.55,24/12/2020 11:30,CET,211,116.05
GTT,FR0011726835,GTT,Euronext Paris,EUR,80.4,80.9,79.75,80.2,9/02/2021 17:35,CET,38037,3057365.3
GUERBET,FR0000032526,GBT,Euronext Paris,EUR,34.1,34.1,33.25,33.9,9/02/2021 17:35,CET,2737,92310.25
GUERBET NV21,FR0014001269,GBTNV,Euronext Paris,EUR,36.1,36.1,36.1,36.1,26/01/2021 11:30,CET,300,10830
